Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
Atlas Prime Chassis Blueprint,Uncommon (17.00%)
Paris Prime Lower Limb,Uncommon (20.00%)
Stradavar Prime Stock,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Axi B3 Relic (Radiant),Axi B3 Relic (Radiant)
Baza Prime Stock,Uncommon (10.00%)
Zhuge Prime Receiver,Uncommon (20.00%)
Atlas Prime Chassis Blueprint,Uncommon (20.00%)
Paris Prime Lower Limb,Uncommon (16.67%)
Stradavar Prime Stock,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Axi B4 Relic (Intact),Axi B4 Relic (Intact)
Baza Prime Blueprint,Rare (2.00%)
Ivara Prime Blueprint,Uncommon (11.00%)
Karyst Prime Handle,Uncommon (11.00%)
Aksomati Prime Blueprint,Uncommon (25.33%)
Akjagara Prime Blueprint,Uncommon (25.33%)
Paris Prime Lower Limb,Uncommon (25.33%)
,
Axi B4 Relic (Exceptional),Axi B4 Relic (Exceptional)
Baza Prime Blueprint,Rare (4.00%)
Ivara Prime Blueprint,Uncommon (13.00%)
Karyst Prime Handle,Uncommon (13.00%)
Aksomati Prime Blueprint,Uncommon (23.33%)
Akjagara Prime Blueprint,Uncommon (23.33%)
Paris Prime Lower Limb,Uncommon (23.33%)
,
Axi B4 Relic (Flawless),Axi B4 Relic (Flawless)
Baza Prime Blueprint,Rare (6.00%)
Ivara Prime Blueprint,Uncommon (17.00%)
Karyst Prime Handle,Uncommon (17.00%)
Aksomati Prime Blueprint,Uncommon (20.00%)
Akjagara Prime Blueprint,Uncommon (20.00%)
Paris Prime Lower Limb,Uncommon (20.00%)
,
Axi B4 Relic (Radiant),Axi B4 Relic (Radiant)
Baza Prime Blueprint,Uncommon (10.00%)
Ivara Prime Blueprint,Uncommon (20.00%)
Karyst Prime Handle,Uncommon (20.00%)
Aksomati Prime Blueprint,Uncommon (16.67%)
Akjagara Prime Blueprint,Uncommon (16.67%)
Paris Prime Lower Limb,Uncommon (16.67%)
,
Axi B5 Relic (Intact),Axi B5 Relic (Intact)
Baruuk Prime Neuroptics Blueprint,Rare (2.00%)
Nagantaka Prime Receiver,Uncommon (11.00%)
Volnus Prime Head,Uncommon (11.00%)
Paris Prime Lower Limb,Uncommon (25.33%)
Knell Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Axi B5 Relic (Exceptional),Axi B5 Relic (Exceptional)
Baruuk Prime Neuroptics Blueprint,Rare (4.00%)
Nagantaka Prime Receiver,Uncommon (13.00%)
Volnus Prime Head,Uncommon (13.00%)
Paris Prime Lower Limb,Uncommon (23.33%)
Knell Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Axi B5 Relic (Flawless),Axi B5 Relic (Flawless)
Baruuk Prime Neuroptics Blueprint,Rare (6.00%)
Nagantaka Prime Receiver,Uncommon (17.00%)
Volnus Prime Head,Uncommon (17.00%)
Paris Prime Lower Limb,Uncommon (20.00%)
Knell Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Axi B5 Relic (Radiant),Axi B5 Relic (Radiant)
Baruuk Prime Neuroptics Blueprint,Uncommon (10.00%)
Nagantaka Prime Receiver,Uncommon (20.00%)
Volnus Prime Head,Uncommon (20.00%)
Paris Prime Lower Limb,Uncommon (16.67%)
Knell Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Axi B6 Relic (Intact),Axi B6 Relic (Intact)
Baruuk Prime Neuroptics Blueprint,Rare (2.00%)
Shade Prime Systems,Uncommon (11.00%)
Garuda Prime Chassis Blueprint,Uncommon (11.00%)
Lex Prime Barrel,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Afuris Prime Blueprint,Uncommon (25.33%)
,
Axi B6 Relic (Exceptional),Axi B6 Relic (Exceptional)
Baruuk Prime Neuroptics Blueprint,Rare (4.00%)
Shade Prime Systems,Uncommon (13.00%)
Garuda Prime Chassis Blueprint,Uncommon (13.00%)
Lex Prime Barrel,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Afuris Prime Blueprint,Uncommon (23.33%)
,
Axi B6 Relic (Flawless),Axi B6 Relic (Flawless)
Baruuk Prime Neuroptics Blueprint,Rare (6.00%)
Shade Prime Systems,Uncommon (17.00%)
Garuda Prime Chassis Blueprint,Uncommon (17.00%)
Lex Prime Barrel,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Afuris Prime Blueprint,Uncommon (20.00%)
,
Axi B6 Relic (Radiant),Axi B6 Relic (Radiant)
Baruuk Prime Neuroptics Blueprint,Uncommon (10.00%)
Shade Prime Systems,Uncommon (20.00%)
Garuda Prime Chassis Blueprint,Uncommon (20.00%)
Lex Prime Barrel,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Afuris Prime Blueprint,Uncommon (16.67%)
,
Axi C1 Relic (Intact),Axi C1 Relic (Intact)
Cernos Prime Lower Limb,Rare (2.00%)
Orthos Prime Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Trinity Prime Neuroptics Blueprint,Uncommon (25.33%)
Vectis Prime Barrel,Uncommon (25.33%)
Lex Prime Receiver,Uncommon (25.33%)
,
Axi C1 Relic (Exceptional),Axi C1 Relic (Exceptional)
Cernos Prime Lower Limb,Rare (4.00%)
Orthos Prime Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Trinity Prime Neuroptics Blueprint,Uncommon (23.33%)
Vectis Prime Barrel,Uncommon (23.33%)
Lex Prime Receiver,Uncommon (23.33%)
,
Axi C1 Relic (Flawless),Axi C1 Relic (Flawless)
Cernos Prime Lower Limb,Rare (6.00%)
Orthos Prime Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Trinity Prime Neuroptics Blueprint,Uncommon (20.00%)
Vectis Prime Barrel,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (20.00%)
,
Axi C1 Relic (Radiant),Axi C1 Relic (Radiant)
Cernos Prime Lower Limb,Uncommon (10.00%)
Orthos Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Trinity Prime Neuroptics Blueprint,Uncommon (16.67%)
Vectis Prime Barrel,Uncommon (16.67%)
Lex Prime Receiver,Uncommon (16.67%)
,
Axi C2 Relic (Intact),Axi C2 Relic (Intact)
Cernos Prime Lower Limb,Rare (2.00%)
Silva & Aegis Prime Blade,Uncommon (11.00%)
Fragor Prime Handle,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Trinity Prime Systems Blueprint,Uncommon (25.33%)
Braton Prime Blueprint,Uncommon (25.33%)
,
Axi C2 Relic (Exceptional),Axi C2 Relic (Exceptional)
Cernos Prime Lower Limb,Rare (4.00%)
Silva & Aegis Prime Blade,Uncommon (13.00%)
Fragor Prime Handle,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Trinity Prime Systems Blueprint,Uncommon (23.33%)
Braton Prime Blueprint,Uncommon (23.33%)
,
Axi C2 Relic (Flawless),Axi C2 Relic (Flawless)
Cernos Prime Lower Limb,Rare (6.00%)
Silva & Aegis Prime Blade,Uncommon (17.00%)
Fragor Prime Handle,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
Trinity Prime Systems Blueprint,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (20.00%)
,
Axi C2 Relic (Radiant),Axi C2 Relic (Radiant)
Cernos Prime Lower Limb,Uncommon (10.00%)
Silva & Aegis Prime Blade,Uncommon (20.00%)
Fragor Prime Handle,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Trinity Prime Systems Blueprint,Uncommon (16.67%)
Braton Prime Blueprint,Uncommon (16.67%)
,
Axi C3 Relic (Intact),Axi C3 Relic (Intact)
Chroma Prime Systems Blueprint,Rare (2.00%)
Banshee Prime Blueprint,Uncommon (11.00%)
Pyrana Prime Receiver,Uncommon (11.00%)
Helios Prime Carapace,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Hydroid Prime Chassis Blueprint,Uncommon (25.33%)
,
Axi C3 Relic (Exceptional),Axi C3 Relic (Exceptional)
Chroma Prime Systems Blueprint,Rare (4.00%)
Banshee Prime Blueprint,Uncommon (13.00%)
Pyrana Prime Receiver,Uncommon (13.00%)
Helios Prime Carapace,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Hydroid Prime Chassis Blueprint,Uncommon (23.33%)
,
Axi C3 Relic (Flawless),Axi C3 Relic (Flawless)
Chroma Prime Systems Blueprint,Rare (6.00%)
Banshee Prime Blueprint,Uncommon (17.00%)
Pyrana Prime Receiver,Uncommon (17.00%)
Helios Prime Carapace,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Hydroid Prime Chassis Blueprint,Uncommon (20.00%)
,
Axi C3 Relic (Radiant),Axi C3 Relic (Radiant)
Chroma Prime Systems Blueprint,Uncommon (10.00%)
Banshee Prime Blueprint,Uncommon (20.00%)
Pyrana Prime Receiver,Uncommon (20.00%)
Helios Prime Carapace,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Hydroid Prime Chassis Blueprint,Uncommon (16.67%)
,
Axi C4 Relic (Intact),Axi C4 Relic (Intact)
Chroma Prime Systems Blueprint,Rare (2.00%)
Sybaris Prime Receiver,Uncommon (11.00%)
Kogake Prime Blueprint,Uncommon (11.00%)
Braton Prime Blueprint,Uncommon (25.33%)
Hydroid Prime Chassis Blueprint,Uncommon (25.33%)
Pyrana Prime Barrel,Uncommon (25.33%)
,
Axi C4 Relic (Exceptional),Axi C4 Relic (Exceptional)
Chroma Prime Systems Blueprint,Rare (4.00%)
Sybaris Prime Receiver,Uncommon (13.00%)
Kogake Prime Blueprint,Uncommon (13.00%)
Braton Prime Blueprint,Uncommon (23.33%)
Hydroid Prime Chassis Blueprint,Uncommon (23.33%)
Pyrana Prime Barrel,Uncommon (23.33%)
,
Axi C4 Relic (Flawless),Axi C4 Relic (Flawless)
Chroma Prime Systems Blueprint,Rare (6.00%)
Sybaris Prime Receiver,Uncommon (17.00%)
Kogake Prime Blueprint,Uncommon (17.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Hydroid Prime Chassis Blueprint,Uncommon (20.00%)
Pyrana Prime Barrel,Uncommon (20.00%)
,
Axi C4 Relic (Radiant),Axi C4 Relic (Radiant)
Chroma Prime Systems Blueprint,Uncommon (10.00%)
Sybaris Prime Receiver,Uncommon (20.00%)
Kogake Prime Blueprint,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (16.67%)
Hydroid Prime Chassis Blueprint,Uncommon (16.67%)
Pyrana Prime Barrel,Uncommon (16.67%)
,
Axi C5 Relic (Intact),Axi C5 Relic (Intact)
Corinth Prime Barrel,Rare (2.00%)
Tipedo Prime Ornament,Uncommon (11.00%)
Akbronco Prime Link,Uncommon (11.00%)
Braton Prime Barrel,Uncommon (25.33%)
Panthera Prime Blueprint,Uncommon (25.33%)
Tekko Prime Gauntlet,Uncommon (25.33%)
,
Axi C5 Relic (Exceptional),Axi C5 Relic (Exceptional)
Corinth Prime Barrel,Rare (4.00%)
Tipedo Prime Ornament,Uncommon (13.00%)
Akbronco Prime Link,Uncommon (13.00%)
Braton Prime Barrel,Uncommon (23.33%)
Panthera Prime Blueprint,Uncommon (23.33%)
Tekko Prime Gauntlet,Uncommon (23.33%)
,
Axi C5 Relic (Flawless),Axi C5 Relic (Flawless)
Corinth Prime Barrel,Rare (6.00%)
Tipedo Prime Ornament,Uncommon (17.00%)
Akbronco Prime Link,Uncommon (17.00%)
Braton Prime Barrel,Uncommon (20.00%)
Panthera Prime Blueprint,Uncommon (20.00%)
Tekko Prime Gauntlet,Uncommon (20.00%)
,
Axi C5 Relic (Radiant),Axi C5 Relic (Radiant)
Corinth Prime Barrel,Uncommon (10.00%)
Tipedo Prime Ornament,Uncommon (20.00%)
Akbronco Prime Link,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (16.67%)
Panthera Prime Blueprint,Uncommon (16.67%)
Tekko Prime Gauntlet,Uncommon (16.67%)
,
Axi C6 Relic (Intact),Axi C6 Relic (Intact)
Corinth Prime Barrel,Rare (2.00%)
Pandero Prime Barrel,Uncommon (11.00%)
Ivara Prime Systems Blueprint,Uncommon (11.00%)
Pangolin Prime Handle,Uncommon (25.33%)
Karyst Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Axi C6 Relic (Exceptional),Axi C6 Relic (Exceptional)
Corinth Prime Barrel,Rare (4.00%)
Pandero Prime Barrel,Uncommon (13.00%)
Ivara Prime Systems Blueprint,Uncommon (13.00%)
Pangolin Prime Handle,Uncommon (23.33%)
Karyst Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Axi C6 Relic (Flawless),Axi C6 Relic (Flawless)
Corinth Prime Barrel,Rare (6.00%)
Pandero Prime Barrel,Uncommon (17.00%)
Ivara Prime Systems Blueprint,Uncommon (17.00%)
Pangolin Prime Handle,Uncommon (20.00%)
Karyst Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Axi C6 Relic (Radiant),Axi C6 Relic (Radiant)
Corinth Prime Barrel,Uncommon (10.00%)
Pandero Prime Barrel,Uncommon (20.00%)
Ivara Prime Systems Blueprint,Uncommon (20.00%)
Pangolin Prime Handle,Uncommon (16.67%)
Karyst Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Axi C7 Relic (Intact),Axi C7 Relic (Intact)
Corinth Prime Barrel,Rare (2.00%)
Volnus Prime Head,Uncommon (11.00%)
Tenora Prime Stock,Uncommon (11.00%)
Bronco Prime Blueprint,Uncommon (25.33%)
Magnus Prime Blueprint,Uncommon (25.33%)
Lex Prime Receiver,Uncommon (25.33%)
,
Axi C7 Relic (Exceptional),Axi C7 Relic (Exceptional)
Corinth Prime Barrel,Rare (4.00%)
Volnus Prime Head,Uncommon (13.00%)
Tenora Prime Stock,Uncommon (13.00%)
Bronco Prime Blueprint,Uncommon (23.33%)
Magnus Prime Blueprint,Uncommon (23.33%)
Lex Prime Receiver,Uncommon (23.33%)
,
Axi C7 Relic (Flawless),Axi C7 Relic (Flawless)
Corinth Prime Barrel,Rare (6.00%)
Volnus Prime Head,Uncommon (17.00%)
Tenora Prime Stock,Uncommon (17.00%)
Bronco Prime Blueprint,Uncommon (20.00%)
Magnus Prime Blueprint,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (20.00%)
,
Axi C7 Relic (Radiant),Axi C7 Relic (Radiant)
Corinth Prime Barrel,Uncommon (10.00%)
Volnus Prime Head,Uncommon (20.00%)
Tenora Prime Stock,Uncommon (20.00%)
Bronco Prime Blueprint,Uncommon (16.67%)
Magnus Prime Blueprint,Uncommon (16.67%)
Lex Prime Receiver,Uncommon (16.67%)
,
Axi D1 Relic (Intact),Axi D1 Relic (Intact)
Destreza Prime Blade,Rare (2.00%)
Zhuge Prime Receiver,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Braton Prime Blueprint,Uncommon (25.33%)
Chroma Prime Blueprint,Uncommon (25.33%)
Tiberon Prime Receiver,Uncommon (25.33%)
,
Axi D1 Relic (Exceptional),Axi D1 Relic (Exceptional)
Destreza Prime Blade,Rare (4.00%)
Zhuge Prime Receiver,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Braton Prime Blueprint,Uncommon (23.33%)
Chroma Prime Blueprint,Uncommon (23.33%)
Tiberon Prime Receiver,Uncommon (23.33%)
,
Axi D1 Relic (Flawless),Axi D1 Relic (Flawless)
Destreza Prime Blade,Rare (6.00%)
Zhuge Prime Receiver,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Chroma Prime Blueprint,Uncommon (20.00%)
Tiberon Prime Receiver,Uncommon (20.00%)
,
Axi D1 Relic (Radiant),Axi D1 Relic (Radiant)
Destreza Prime Blade,Uncommon (10.00%)
Zhuge Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (16.67%)
Chroma Prime Blueprint,Uncommon (16.67%)
Tiberon Prime Receiver,Uncommon (16.67%)
,
Axi D2 Relic (Intact),Axi D2 Relic (Intact)
Destreza Prime Blade,Rare (2.00%)
Forma Blueprint,Uncommon (11.00%)
Rubico Prime Stock,Uncommon (11.00%)
Aksomati Prime Receiver,Uncommon (25.33%)
Braton Prime Blueprint,Uncommon (25.33%)
Destreza Prime Handle,Uncommon (25.33%)
,
Axi D2 Relic (Exceptional),Axi D2 Relic (Exceptional)
Destreza Prime Blade,Rare (4.00%)
Forma Blueprint,Uncommon (13.00%)
Rubico Prime Stock,Uncommon (13.00%)
Aksomati Prime Receiver,Uncommon (23.33%)
Braton Prime Blueprint,Uncommon (23.33%)
Destreza Prime Handle,Uncommon (23.33%)
,
Axi D2 Relic (Flawless),Axi D2 Relic (Flawless)
Destreza Prime Blade,Rare (6.00%)
Forma Blueprint,Uncommon (17.00%)
Rubico Prime Stock,Uncommon (17.00%)
Aksomati Prime Receiver,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Destreza Prime Handle,Uncommon (20.00%)
,
Axi D2 Relic (Radiant),Axi D2 Relic (Radiant)
Destreza Prime Blade,Uncommon (10.00%)
Forma Blueprint,Uncommon (20.00%)
Rubico Prime Stock,Uncommon (20.00%)
Aksomati Prime Receiver,Uncommon (16.67%)
Braton Prime Blueprint,Uncommon (16.67%)
Destreza Prime Handle,Uncommon (16.67%)
,
Axi D3 Relic (Intact),Axi D3 Relic (Intact)
Dual Kamas Prime Blade,Rare (2.00%)
Pyrana Prime Receiver,Uncommon (11.00%)
Destreza Prime Blueprint,Uncommon (11.00%)
Limbo Prime Systems Blueprint,Uncommon (25.33%)
Lex Prime Blueprint,Uncommon (25.33%)
Braton Prime Stock,Uncommon (25.33%)
,
Axi D3 Relic (Exceptional),Axi D3 Relic (Exceptional)
Dual Kamas Prime Blade,Rare (4.00%)
Pyrana Prime Receiver,Uncommon (13.00%)
Destreza Prime Blueprint,Uncommon (13.00%)
Limbo Prime Systems Blueprint,Uncommon (23.33%)
Lex Prime Blueprint,Uncommon (23.33%)
Braton Prime Stock,Uncommon (23.33%)
,
Axi D3 Relic (Flawless),Axi D3 Relic (Flawless)
Dual Kamas Prime Blade,Rare (6.00%)
Pyrana Prime Receiver,Uncommon (17.00%)
Destreza Prime Blueprint,Uncommon (17.00%)
Limbo Prime Systems Blueprint,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Braton Prime Stock,Uncommon (20.00%)
,
Axi D3 Relic (Radiant),Axi D3 Relic (Radiant)
Dual Kamas Prime Blade,Uncommon (10.00%)
Pyrana Prime Receiver,Uncommon (20.00%)
Destreza Prime Blueprint,Uncommon (20.00%)
Limbo Prime Systems Blueprint,Uncommon (16.67%)
Lex Prime Blueprint,Uncommon (16.67%)
Braton Prime Stock,Uncommon (16.67%)
,
Axi D4 Relic (Intact),Axi D4 Relic (Intact)
Dakra Prime Blade,Rare (2.00%)
Boar Prime Barrel,Uncommon (11.00%)
Mag Prime Neuroptics Blueprint,Uncommon (11.00%)
Latron Prime Barrel,Uncommon (25.33%)
Frost Prime Neuroptics Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Axi D4 Relic (Exceptional),Axi D4 Relic (Exceptional)
Dakra Prime Blade,Rare (4.00%)
Boar Prime Barrel,Uncommon (13.00%)
Mag Prime Neuroptics Blueprint,Uncommon (13.00%)
Latron Prime Barrel,Uncommon (23.33%)
Frost Prime Neuroptics Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Axi D4 Relic (Flawless),Axi D4 Relic (Flawless)
Dakra Prime Blade,Rare (6.00%)
Boar Prime Barrel,Uncommon (17.00%)
Mag Prime Neuroptics Blueprint,Uncommon (17.00%)
Latron Prime Barrel,Uncommon (20.00%)
Frost Prime Neuroptics Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Axi D4 Relic (Radiant),Axi D4 Relic (Radiant)
Dakra Prime Blade,Uncommon (10.00%)
Boar Prime Barrel,Uncommon (20.00%)
Mag Prime Neuroptics Blueprint,Uncommon (20.00%)
Latron Prime Barrel,Uncommon (16.67%)
Frost Prime Neuroptics Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Axi E1 Relic (Intact),Axi E1 Relic (Intact)
Ember Prime Blueprint,Rare (2.00%)
Glaive Prime Blade,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Latron Prime Barrel,Uncommon (25.33%)
Sicarus Prime Blueprint,Uncommon (25.33%)
Frost Prime Neuroptics Blueprint,Uncommon (25.33%)
,
Axi E1 Relic (Exceptional),Axi E1 Relic (Exceptional)
Ember Prime Blueprint,Rare (4.00%)
Glaive Prime Blade,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Latron Prime Barrel,Uncommon (23.33%)
Sicarus Prime Blueprint,Uncommon (23.33%)
Frost Prime Neuroptics Blueprint,Uncommon (23.33%)
,
Axi E1 Relic (Flawless),Axi E1 Relic (Flawless)
Ember Prime Blueprint,Rare (6.00%)
Glaive Prime Blade,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Latron Prime Barrel,Uncommon (20.00%)
Sicarus Prime Blueprint,Uncommon (20.00%)
Frost Prime Neuroptics Blueprint,Uncommon (20.00%)
,
Axi E1 Relic (Radiant),Axi E1 Relic (Radiant)
Ember Prime Blueprint,Uncommon (10.00%)
Glaive Prime Blade,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Latron Prime Barrel,Uncommon (16.67%)
Sicarus Prime Blueprint,Uncommon (16.67%)
Frost Prime Neuroptics Blueprint,Uncommon (16.67%)
,
Axi E2 Relic (Intact),Axi E2 Relic (Intact)
Euphona Prime Receiver,Rare (2.00%)
Bronco Prime Barrel,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Paris Prime Blueprint,Uncommon (25.33%)
Lex Prime Receiver,Uncommon (25.33%)
Braton Prime Stock,Uncommon (25.33%)
,
Axi E2 Relic (Exceptional),Axi E2 Relic (Exceptional)
Euphona Prime Receiver,Rare (4.00%)
Bronco Prime Barrel,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Paris Prime Blueprint,Uncommon (23.33%)
Lex Prime Receiver,Uncommon (23.33%)
Braton Prime Stock,Uncommon (23.33%)
,
Axi E2 Relic (Flawless),Axi E2 Relic (Flawless)
Euphona Prime Receiver,Rare (6.00%)
Bronco Prime Barrel,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Paris Prime Blueprint,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (20.00%)
Braton Prime Stock,Uncommon (20.00%)
,
Axi E2 Relic (Radiant),Axi E2 Relic (Radiant)
Euphona Prime Receiver,Uncommon (10.00%)
Bronco Prime Barrel,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Paris Prime Blueprint,Uncommon (16.67%)
Lex Prime Receiver,Uncommon (16.67%)
Braton Prime Stock,Uncommon (16.67%)
,
Axi F1 Relic (Intact),Axi F1 Relic (Intact)
Fragor Prime Blueprint,Rare (2.00%)
Atlas Prime Systems Blueprint,Uncommon (11.00%)
Vauban Prime Blueprint,Uncommon (11.00%)
Lex Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Braton Prime Stock,Uncommon (25.33%)
,
Axi F1 Relic (Exceptional),Axi F1 Relic (Exceptional)
Fragor Prime Blueprint,Rare (4.00%)
Atlas Prime Systems Blueprint,Uncommon (13.00%)
Vauban Prime Blueprint,Uncommon (13.00%)
Lex Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Braton Prime Stock,Uncommon (23.33%)
,
Axi F1 Relic (Flawless),Axi F1 Relic (Flawless)
Fragor Prime Blueprint,Rare (6.00%)
Atlas Prime Systems Blueprint,Uncommon (17.00%)
Vauban Prime Blueprint,Uncommon (17.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Braton Prime Stock,Uncommon (20.00%)
,
Axi F1 Relic (Radiant),Axi F1 Relic (Radiant)
Fragor Prime Blueprint,Uncommon (10.00%)
Atlas Prime Systems Blueprint,Uncommon (20.00%)
Vauban Prime Blueprint,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Braton Prime Stock,Uncommon (16.67%)
,
Axi G1 Relic (Intact),Axi G1 Relic (Intact)
Galatine Prime Blueprint,Rare (2.00%)
Kavasa Prime Kubrow Collar Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Nekros Prime Chassis Blueprint,Uncommon (25.33%)
Saryn Prime Systems Blueprint,Uncommon (25.33%)
Paris Prime Blueprint,Uncommon (25.33%)
,
Axi G1 Relic (Exceptional),Axi G1 Relic (Exceptional)
Galatine Prime Blueprint,Rare (4.00%)
Kavasa Prime Kubrow Collar Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Nekros Prime Chassis Blueprint,Uncommon (23.33%)
Saryn Prime Systems Blueprint,Uncommon (23.33%)
Paris Prime Blueprint,Uncommon (23.33%)
,
Axi G1 Relic (Flawless),Axi G1 Relic (Flawless)
Galatine Prime Blueprint,Rare (6.00%)
Kavasa Prime Kubrow Collar Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Nekros Prime Chassis Blueprint,Uncommon (20.00%)
Saryn Prime Systems Blueprint,Uncommon (20.00%)
Paris Prime Blueprint,Uncommon (20.00%)
,
Axi G1 Relic (Radiant),Axi G1 Relic (Radiant)
Galatine Prime Blueprint,Uncommon (10.00%)
Kavasa Prime Kubrow Collar Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Nekros Prime Chassis Blueprint,Uncommon (16.67%)
Saryn Prime Systems Blueprint,Uncommon (16.67%)
Paris Prime Blueprint,Uncommon (16.67%)
,
Axi G10 Relic (Intact),Axi G10 Relic (Intact)
Garuda Prime Systems Blueprint,Rare (2.00%)
Larkspur Prime Receiver,Uncommon (11.00%)
Hystrix Prime Blueprint,Uncommon (11.00%)
Corvas Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Orthos Prime Handle,Uncommon (25.33%)
,
Axi G10 Relic (Exceptional),Axi G10 Relic (Exceptional)
Garuda Prime Systems Blueprint,Rare (4.00%)
Larkspur Prime Receiver,Uncommon (13.00%)
Hystrix Prime Blueprint,Uncommon (13.00%)
Corvas Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Orthos Prime Handle,Uncommon (23.33%)
,
Axi G10 Relic (Flawless),Axi G10 Relic (Flawless)
Garuda Prime Systems Blueprint,Rare (6.00%)
Larkspur Prime Receiver,Uncommon (17.00%)
Hystrix Prime Blueprint,Uncommon (17.00%)
Corvas Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Orthos Prime Handle,Uncommon (20.00%)
,
Axi G10 Relic (Radiant),Axi G10 Relic (Radiant)
Garuda Prime Systems Blueprint,Uncommon (10.00%)
