Target Acquired,Target Acquired,Target Acquired
Terra Embattor Moa,20.00%,Ultra Rare (1.01%)
Terra Elite Embattor Moa,20.00%,Ultra Rare (1.01%)
Terra Moa,10.00%,Ultra Rare (1.01%)
Terra Moa,20.00%,Ultra Rare (1.01%)
Terra Anti Moa,10.00%,Ultra Rare (1.01%)
Terra Anti Moa,20.00%,Ultra Rare (1.01%)
Terra Railgun Moa,10.00%,Ultra Rare (1.01%)
Terra Railgun Moa,20.00%,Ultra Rare (1.01%)
Terra Shockwave Moa,10.00%,Ultra Rare (1.01%)
Terra Shockwave Moa,20.00%,Ultra Rare (1.01%)
Kyta Raknoid,10.00%,Ultra Rare (1.01%)
Narmer Scyto Raknoid,10.00%,Ultra Rare (1.01%)
,,
Reflection,Reflection,Reflection
Source,Mod Drop Chance,Chance
Corrupted Ancient,3.00%,Rare (5.53%)
,,
Toxic Flight,Toxic Flight,Toxic Flight
Source,Mod Drop Chance,Chance
Kuva Jester,2.50%,Uncommon (20.00%)
Drekar Ballista,20.00%,Rare (2.01%)
,,
Shotgun Amp,Shotgun Amp,Shotgun Amp
Source,Mod Drop Chance,Chance
Feyarch Specter,100.00%,Common (51.52%)
,,
Arcane Warmth,Arcane Warmth,Arcane Warmth
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Uncommon (12.05%)
Eidolon Teralyst,100.00%,Uncommon (14.95%)
,,
Forward Artillery,Forward Artillery,Forward Artillery
Source,Mod Drop Chance,Chance
Elite Taro Basilisk,15.00%,Ultra Rare (1.12%)
Taro Basilisk,15.00%,Ultra Rare (1.01%)
Elite Orm Basilisk,15.00%,Ultra Rare (1.37%)
Elite Vorac Harpi,15.00%,Legendary (0.67%)
Elite Kosma Cutter,15.00%,Ultra Rare (1.68%)
Kosma Cutter,15.00%,Rare (4.17%)
,,
Carnis Stinger,Carnis Stinger,Carnis Stinger
Source,Mod Drop Chance,Chance
Deimos Carnis,10.00%,Rare (2.01%)
Deimos Carnis Rex,10.00%,Rare (2.01%)
,,
Volatile Rebound,Volatile Rebound,Volatile Rebound
Source,Mod Drop Chance,Chance
Leaping Thrasher,4.50%,Legendary (0.50%)
Deimos Leaping Thrasher,4.50%,Legendary (0.50%)
Deimos Carnis,4.50%,Legendary (0.50%)
Deimos Jugulus,4.50%,Legendary (0.50%)
Deimos Saxum,4.50%,Legendary (0.50%)
,,
Dispatch Overdrive,Dispatch Overdrive,Dispatch Overdrive
Source,Mod Drop Chance,Chance
Corrupted Butcher,3.00%,Rare (5.53%)
,,
Smite Grineer,Smite Grineer,Smite Grineer
Source,Mod Drop Chance,Chance
Vapos Moa,3.00%,Uncommon (11.06%)
Tarask Bursa,3.00%,Uncommon (11.06%)
Taro Moa,3.00%,Uncommon (11.06%)
Aurax Baculus,3.00%,Rare (3.69%)
Orm Moa,3.00%,Uncommon (11.06%)
Axio Moa,3.00%,Uncommon (11.06%)
Vorac Moa,3.00%,Uncommon (11.06%)
Demolisher Devourer,15.00%,Uncommon (25.00%)
Demolisher Expired,15.00%,Uncommon (25.00%)
Demolisher Bailiff,15.00%,Uncommon (25.00%)
Demolisher Bailiff,15.00%,Uncommon (25.00%)
Demolisher Heavy Gunner,15.00%,Uncommon (25.00%)
Demolisher Heavy Gunner,15.00%,Uncommon (25.00%)
Demolisher Nox,15.00%,Uncommon (25.00%)
Demolisher Nox,15.00%,Uncommon (25.00%)
Demolisher Kuva Guardian,15.00%,Uncommon (25.00%)
Tusk Butcher,3.00%,Rare (5.53%)
Ratel,3.00%,Uncommon (11.06%)
Minima Moa,3.00%,Uncommon (11.06%)
Juno Dera Moa,3.00%,Uncommon (11.06%)
Juno Disc Moa,3.00%,Uncommon (11.06%)
Juno Geminex Moa,3.00%,Rare (7.37%)
Juno Glaxion Moa,3.00%,Uncommon (11.06%)
Guardsman,3.00%,Rare (3.69%)
Drover Bursa,3.00%,Uncommon (11.06%)
Isolator Bursa,3.00%,Uncommon (11.06%)
Kuva Drahk Master,3.00%,Rare (5.53%)
Kuva Butcher,3.00%,Rare (5.53%)
Ghoul Devourer,10.00%,Rare (3.69%)
Drahk Master,3.00%,Rare (5.53%)
Frontier Bailiff,3.00%,Rare (5.53%)
Bailiff,3.00%,Rare (5.53%)
Butcher,3.00%,Rare (5.53%)
Moa,3.00%,Uncommon (11.06%)
Denial Bursa,3.00%,Uncommon (11.06%)
Drekar Butcher,3.00%,Uncommon (11.06%)
Narmer Dera Moa,3.00%,Uncommon (11.06%)
Narmer Disc Moa,3.00%,Uncommon (11.06%)
Narmer Geminex Moa,3.00%,Rare (7.37%)
Narmer Glaxion Moa,3.00%,Uncommon (11.06%)
Narmer Demolisher Expired,15.00%,Uncommon (25.00%)
Narmer Demolisher Bailiff,15.00%,Uncommon (25.00%)
Narmer Demolisher Gunner,15.00%,Uncommon (25.00%)
Striker Moa,3.00%,Uncommon (11.06%)
Mimic,30.00%,Uncommon (21.43%)
,,
Cascadia Empowered,Cascadia Empowered,Cascadia Empowered
Source,Mod Drop Chance,Chance
Void Angel,25.00%,Rare (6.67%)
Ravenous Void Angel,10.00%,Rare (6.67%)
Thrax Centurion,5.00%,Rare (6.67%)
Thrax Legatus,5.00%,Rare (6.67%)
,,
Melee Retaliation,Melee Retaliation,Melee Retaliation
Source,Mod Drop Chance,Chance
Mocking Whisper,50.00%,Uncommon (25.00%)
Scathing Whisper,50.00%,Uncommon (25.00%)
,,
Fortifying Fire,Fortifying Fire,Fortifying Fire
Source,Mod Drop Chance,Chance
Orm Gox,15.00%,Rare (2.02%)
Elite Orm Harpi,15.00%,Rare (3.36%)
Orm Harpi,15.00%,Rare (2.01%)
Elite Orm Weaver,15.00%,Rare (3.57%)
Orm Weaver,15.00%,Rare (2.08%)
,,
Ion Infusion,Ion Infusion,Ion Infusion
Source,Mod Drop Chance,Chance
Lektro Commander,15.00%,Uncommon (20.00%)
,,
Gladiator Finesse,Gladiator Finesse,Gladiator Finesse
Source,Mod Drop Chance,Chance
Tusk Thumper Doma,15.00%,Uncommon (12.50%)
Tusk Thumper Bull,15.00%,Uncommon (12.50%)
Tusk Thumper,15.00%,Uncommon (12.50%)
Aerial Commander,100.00%,Legendary (0.50%)
Narmer Thumper Doma,15.00%,Uncommon (12.50%)
Narmer Thumper Bull,15.00%,Uncommon (12.50%)
Narmer Thumper,15.00%,Uncommon (12.50%)
,,
Hunter Recovery,Hunter Recovery,Hunter Recovery
Source,Mod Drop Chance,Chance
Hemocyte,100.00%,Uncommon (28.95%)
Ghoul Auger Alpha,50.00%,Very Common (75.88%)
,,
Acid Shells,Acid Shells,Acid Shells
Source,Mod Drop Chance,Chance
Kela De Thaym,100.00%,Uncommon (11.11%)
,,
Nightwatch Napalm,Nightwatch Napalm,Nightwatch Napalm
Source,Mod Drop Chance,Chance
Kela De Thaym,100.00%,Uncommon (11.11%)
,,
Relentless Combination,Relentless Combination,Relentless Combination
Source,Mod Drop Chance,Chance
Ancient Disruptor,3.00%,Uncommon (11.06%)
Tar Mutalist Moa,3.00%,Uncommon (11.06%)
Deimos Therid,3.00%,Uncommon (11.06%)
,,
Necramech Augur,Necramech Augur,Necramech Augur
Source,Mod Drop Chance,Chance
Deimos Jugulus Rex,100.00%,Rare (4.42%)
,,
Final Harbinger,Final Harbinger,Final Harbinger
Source,Mod Drop Chance,Chance
Feyarch Specter,100.00%,Common (36.36%)
Drekar Manic,3.00%,Rare (5.53%)
,,
Sure Shot,Sure Shot,Sure Shot
Source,Mod Drop Chance,Chance
Kuva Scorch,3.00%,Rare (5.64%)
Ghoul Auger,10.00%,Rare (5.53%)
Scorch,3.00%,Rare (5.64%)
Electric Crawler,3.00%,Rare (5.53%)
Narmer Scorch,3.00%,Rare (5.64%)
,,
Revenge,Revenge,Revenge
Source,Mod Drop Chance,Chance
Vapos Moa,3.00%,Uncommon (25.29%)
Tarask Bursa,3.00%,Uncommon (25.29%)
Taro Moa,3.00%,Uncommon (25.29%)
Orm Moa,3.00%,Uncommon (25.29%)
Axio Moa,3.00%,Uncommon (25.29%)
Vorac Moa,3.00%,Uncommon (25.29%)
Tusk Elite Lancer,3.00%,Uncommon (25.29%)
Dargyn Pilot,3.00%,Uncommon (25.29%)
Ratel,3.00%,Uncommon (25.29%)
Minima Moa,3.00%,Uncommon (25.29%)
Juno Dera Moa,3.00%,Uncommon (25.29%)
Juno Disc Moa,3.00%,Uncommon (25.29%)
Juno Geminex Moa,3.00%,Uncommon (25.29%)
Juno Glaxion Moa,3.00%,Uncommon (25.29%)
Drover Bursa,3.00%,Uncommon (25.29%)
Isolator Bursa,3.00%,Uncommon (25.29%)
Elite Lancer,3.00%,Uncommon (25.29%)
Kuva Elite Lancer,3.00%,Uncommon (25.29%)
Draga,3.00%,Uncommon (25.29%)
Elite Arid Lancer,3.00%,Uncommon (25.29%)
Elite Frontier Lancer,3.00%,Uncommon (25.29%)
Darek Draga,3.00%,Uncommon (25.29%)
Moa,3.00%,Uncommon (25.29%)
Denial Bursa,3.00%,Uncommon (25.29%)
Shock Draga,3.00%,Uncommon (25.29%)
Narmer Dera Moa,3.00%,Uncommon (25.29%)
Narmer Disc Moa,3.00%,Uncommon (25.29%)
Narmer Geminex Moa,3.00%,Uncommon (25.29%)
Narmer Glaxion Moa,3.00%,Uncommon (25.29%)
Narmer Elite Lancer,3.00%,Uncommon (25.29%)
Striker Moa,3.00%,Uncommon (25.29%)
Orb Vallis - Enrichment Labs Enemies,5.00%,Common (34.55%)
,,
Strain Consume,Strain Consume,Strain Consume
Source,Mod Drop Chance,Chance
Armaments Director,5.00%,Uncommon (25.00%)
Vivisect Director,5.00%,Uncommon (25.00%)
Sentient Research Director,5.00%,Uncommon (25.00%)
,,
Phoenix Blaze,Phoenix Blaze,Phoenix Blaze
Source,Mod Drop Chance,Chance
Elite Axio Weaver,15.00%,Rare (3.26%)
Axio Weaver,15.00%,Rare (7.37%)
Elite Vorac Weaver,15.00%,Rare (3.17%)
Vorac Weaver,15.00%,Rare (5.53%)
Elite Gyre Cutter,15.00%,Rare (7.37%)
Gyre Cutter,15.00%,Uncommon (11.06%)
,,
Clashing Forest,Clashing Forest,Clashing Forest
Source,Mod Drop Chance,Chance
Corrupted Ancient,3.00%,Rare (5.53%)
,,
Section Density,Section Density,Section Density
Source,Mod Drop Chance,Chance
Elite Orm Harpi,15.00%,Uncommon (12.32%)
Orm Harpi,15.00%,Rare (7.37%)
Elite Axio Harpi,15.00%,Uncommon (12.32%)
Axio Harpi,15.00%,Rare (7.37%)
Elite Taro Weaver,15.00%,Rare (9.24%)
Taro Weaver,15.00%,Uncommon (22.92%)
Elite Kosma Flak,15.00%,Rare (9.24%)
Kosma Flak,15.00%,Rare (5.53%)
Elite Kosma Cutter,15.00%,Uncommon (12.32%)
Kosma Cutter,15.00%,Uncommon (22.92%)
Elite Gyre Cutter,15.00%,Rare (7.37%)
,,
Shell Compression,Shell Compression,Shell Compression
Source,Mod Drop Chance,Chance
Heavy Gunner,3.00%,Uncommon (11.06%)
Arid Heavy Gunner,3.00%,Uncommon (11.06%)
Frontier Heavy Gunner,3.00%,Uncommon (11.06%)
Commander,3.00%,Uncommon (22.56%)
Jackal,100.00%,Rare (7.37%)
Corrupted Warden,3.00%,Uncommon (11.06%)
Grineer Warden,3.00%,Uncommon (11.06%)
Garv,3.00%,Uncommon (11.06%)
Narmer Gunner Warden,3.00%,Uncommon (11.06%)
Narmer Heavy Gunner,3.00%,Uncommon (11.06%)
,,
Proton Pulse,Proton Pulse,Proton Pulse
Source,Mod Drop Chance,Chance
Amalgam Moa,15.00%,Uncommon (21.82%)
Amalgam Kucumatz,15.00%,Uncommon (21.82%)
Demolyst Machinist,15.00%,Uncommon (21.82%)
Demolyst Heqet,15.00%,Uncommon (21.82%)
Amalgam Osprey,15.00%,Uncommon (21.82%)
Demolyst Moa,15.00%,Uncommon (21.82%)
Amalgam Satyr,15.00%,Uncommon (21.82%)
Demolyst Osprey,15.00%,Uncommon (21.82%)
Amalgam Alkonost,15.00%,Uncommon (21.82%)
Amalgam Machinist,15.00%,Uncommon (21.82%)
Demolyst Satyr,15.00%,Uncommon (21.82%)
Amalgam Heqet,15.00%,Uncommon (21.82%)
Amalgam Cinder Machinist,15.00%,Uncommon (21.82%)
Amalgam Arca Kucumatz,15.00%,Uncommon (21.82%)
Amalgam Arca Heqet,15.00%,Uncommon (21.82%)
Amalgam Phase Moa,15.00%,Uncommon (21.82%)
Amalgam Swarm Satyr,15.00%,Uncommon (21.82%)
Aurax Culveri Moa,15.00%,Uncommon (21.82%)
Aurax Polaris Moa,15.00%,Uncommon (21.82%)
,,
Accelerated Deflection,Accelerated Deflection,Accelerated Deflection
Source,Mod Drop Chance,Chance
Tusk Seeker,3.00%,Rare (7.37%)
Arcane Boiler,3.00%,Rare (7.37%)
Kuva Seeker,3.00%,Rare (7.37%)
Arid Seeker,3.00%,Rare (7.37%)
Frontier Seeker,3.00%,Rare (7.37%)
Seeker,3.00%,Rare (7.37%)
Boiler,3.00%,Rare (7.37%)
Toxic Ancient,3.00%,Rare (7.37%)
Grineer Manic,3.00%,Rare (7.37%)
Drekar Seeker,3.00%,Rare (7.37%)
Narmer Seeker,3.00%,Rare (7.37%)
,,
Combustion Rounds,Combustion Rounds,Combustion Rounds
Source,Mod Drop Chance,Chance
Dreg,3.00%,Rare (7.37%)
Attack Mutalist,3.00%,Rare (7.37%)
Mutalist Lightning Carrier,3.00%,Rare (7.37%)
Mutalist Toxic Carrier,3.00%,Rare (7.37%)
Deimos Tendril Drone,3.00%,Rare (7.37%)
Kosma Eviscerator,5.00%,Rare (5.53%)
Gyre Eviscerator,5.00%,Rare (7.37%)
Gyre Supressor,5.00%,Rare (7.37%)
Kosma Supressor,5.00%,Rare (5.53%)
,,
Crimson Dervish,Crimson Dervish,Crimson Dervish
Source,Mod Drop Chance,Chance
Tusk Bombard,3.00%,Legendary (0.50%)
Tusk Mortar Bombard,3.00%,Legendary (0.50%)
Knave Specter,100.00%,Rare (6.06%)
Bombard,3.00%,Legendary (0.50%)
Narmer Bombard,3.00%,Legendary (0.50%)
,,
Energy Inversion,Energy Inversion,Energy Inversion
Source,Mod Drop Chance,Chance
Uncommon Corpus Storage Container,5.00%,Common (37.94%)
Cannon Battery,3.00%,Uncommon (25.81%)
Common Grineer Storage Container,5.00%,Common (37.94%)
Common Grineer Storage Container,5.00%,Common (37.94%)
Uncommon Grineer Storage Container,5.00%,Common (37.94%)
Shield Dargyn,3.00%,Common (38.72%)
Orokin Storage Container,5.00%,Common (37.94%)
Orokin Storage Container,5.00%,Common (37.94%)
Turret,3.00%,Uncommon (25.81%)
Rare Corpus Storage Container,7.50%,Common (37.94%)
Rare Grineer Storage Container,7.50%,Common (37.94%)
Rare Orokin Storage Container,5.00%,Common (37.94%)
Reinforced Grineer Storage Container,10.00%,Common (37.94%)
Reinforced Grineer Storage Container,10.00%,Common (37.94%)
Reinforced Orokin Storage Container,5.00%,Common (37.94%)
Exo Raider,5.00%,Common (37.94%)
Exo Raider Carver,5.00%,Common (37.94%)
Exo Raider Eviscerator,5.00%,Common (37.94%)
Kosma Gokstad Officer,5.00%,Very Common (75.88%)
Gyre Butcher,5.00%,Very Common (79.82%)
Gyre Elite Lancer,5.00%,Very Common (79.82%)
Kosma Gokstad Pilot,5.00%,Very Common (75.88%)
Nascent Membroid,5.00%,Common (37.94%)
Mature Membroid,5.00%,Common (37.94%)
Apex Membroid,5.00%,Common (37.94%)
Juvenile Membroid,5.00%,Common (37.94%)
,,
Razor Shot,Razor Shot,Razor Shot
Source,Mod Drop Chance,Chance
Tusk Elite Lancer,3.00%,Uncommon (11.06%)
Dargyn Pilot,3.00%,Uncommon (11.06%)
Elite Lancer,3.00%,Uncommon (11.06%)
Kuva Elite Lancer,3.00%,Uncommon (11.06%)
Draga,3.00%,Uncommon (11.06%)
Elite Arid Lancer,3.00%,Uncommon (11.06%)
Elite Frontier Lancer,3.00%,Uncommon (11.06%)
Darek Draga,3.00%,Uncommon (11.06%)
Shock Draga,3.00%,Uncommon (11.06%)
Basal Diploid,3.50%,Rare (5.53%)
Basal Diploid Rex,3.50%,Rare (5.53%)
Feral Diploid,3.50%,Rare (5.53%)
Feral Diploid Rex,3.50%,Rare (5.53%)
Narmer Elite Lancer,3.00%,Uncommon (11.06%)
Orb Vallis - Spaceport Enemies,5.00%,Rare (2.81%)
,,
Fast Deflection,Fast Deflection,Fast Deflection
Source,Mod Drop Chance,Chance
Tusk Roller,3.00%,Rare (7.37%)
Elite Shield Lancer,5.00%,Common (45.83%)
Ambulas,80.00%,Rare (5.53%)
Nervo,3.00%,Rare (7.37%)
Kuva Roller,3.00%,Rare (7.37%)
Roller,3.00%,Rare (7.37%)
Roller Sentry,3.00%,Rare (7.37%)
Latcher,3.00%,Rare (7.37%)
,,
Steel Fiber,Steel Fiber,Steel Fiber
Source,Mod Drop Chance,Chance
Nox,3.00%,Uncommon (19.36%)
Crawler,3.00%,Common (37.94%)
Tyl Regor,100.00%,Uncommon (25.81%)
Tyl Regor,100.00%,Uncommon (25.81%)
,,
Piercing Caliber,Piercing Caliber,Piercing Caliber
Source,Mod Drop Chance,Chance
Eidolon Gantulyst,100.00%,Legendary (0.84%)
,,
Stormbringer,Stormbringer,Stormbringer
Source,Mod Drop Chance,Chance
Tusk Ballista,3.00%,Uncommon (11.06%)
Juno Dera Moa,3.00%,Uncommon (11.06%)
Lynx,3.00%,Uncommon (22.11%)
Kuva Ballista,3.00%,Uncommon (11.06%)
Sprag,3.00%,Uncommon (11.06%)
Ven'Kra Tel,3.00%,Uncommon (11.06%)
Ballista,3.00%,Uncommon (11.06%)
Narmer Dera Moa,3.00%,Uncommon (11.06%)
Narmer Ballista,3.00%,Uncommon (11.06%)
Striker Moa,3.00%,Uncommon (11.06%)
Orb Vallis - Enrichment Labs Enemies,5.00%,Rare (5.03%)
,,
Blind Justice,Blind Justice,Blind Justice
Source,Mod Drop Chance,Chance
Knave Specter,100.00%,Common (36.36%)
Hunhow,100.00%,Uncommon (30.56%)
Stalker,100.00%,Uncommon (30.56%)
Shadow Stalker,100.00%,Uncommon (30.56%)
,,
Extend,Extend,Extend
Source,Mod Drop Chance,Chance
Tusk Shield Dargyn,12.50%,Uncommon (25.29%)
Tusk Dargyn,12.50%,Uncommon (25.29%)
Tusk Command Dargyn,12.50%,Uncommon (25.29%)
Attack Drone,3.00%,Uncommon (25.29%)
Kuva Dargyn,12.50%,Uncommon (25.29%)
Lancer Dreg,3.00%,Common (37.94%)
Hellion Dargyn,12.50%,Uncommon (25.29%)
Temporal Dreg,10.00%,Uncommon (25.29%)
Gyre Raider,5.00%,Very Common (75.88%)
Gyre Raider Carver,5.00%,Very Common (75.88%)
Gyre Raider Eviscerator,5.00%,Very Common (75.88%)
,,
Hyperion Thrusters,Hyperion Thrusters,Hyperion Thrusters
Source,Mod Drop Chance,Chance
Locust Drone,20.00%,Rare (2.01%)
Kosma Raider,5.00%,Rare (2.01%)
Kosma Raider Carver,5.00%,Rare (2.01%)
Kosma Raider Eviscerator,5.00%,Rare (2.01%)
Kuva Lich Agor Rok (Level 70 - 79),3.00%,Legendary (0.52%)
,,
Rubedo-Lined Barrel,Rubedo-Lined Barrel,Rubedo-Lined Barrel
Source,Mod Drop Chance,Chance
Tusk Shield Dargyn,12.50%,Uncommon (11.06%)
Tusk Dargyn,12.50%,Uncommon (11.06%)
Tusk Command Dargyn,12.50%,Uncommon (11.06%)
Locust Drone,20.00%,Uncommon (11.06%)
Kuva Dargyn,12.50%,Uncommon (11.06%)
Hellion Dargyn,12.50%,Uncommon (11.06%)
Exo Gokstad Officer,5.00%,Rare (5.04%)
Kosma Gokstad Officer,5.00%,Rare (4.42%)
Gyre Gokstad Officer,5.00%,Rare (5.26%)
Exo Eviscerator,5.00%,Rare (5.53%)
Exo Supressor,5.00%,Rare (5.53%)
Exo Gokstad Pilot,5.00%,Rare (5.04%)
Kosma Gokstad Pilot,5.00%,Rare (4.42%)
Gyre Gokstad Pilot,5.00%,Rare (5.26%)
Gyre Roller Sentry,5.00%,Rare (5.26%)
,,
Brief Respite,Brief Respite,Brief Respite
Source,Mod Drop Chance,Chance
Orphid Specter,100.00%,Common (38.60%)
,,
Whirlwind,Whirlwind,Whirlwind
Source,Mod Drop Chance,Chance
Corrupted Drahk Master,3.00%,Legendary (0.67%)
Corrupted Heavy Gunner,3.00%,Legendary (0.67%)
Corrupted Bombard,3.00%,Legendary (0.67%)
Corrupted Nullifier,3.00%,Legendary (0.67%)
,,
Smite Corrupted,Smite Corrupted,Smite Corrupted
Source,Mod Drop Chance,Chance
Mimic,30.00%,Uncommon (21.43%)
,,
Medi-Ray,Medi-Ray,Medi-Ray
Source,Mod Drop Chance,Chance
Kela De Thaym,100.00%,Uncommon (11.11%)
,,
Fast Hands,Fast Hands,Fast Hands
Source,Mod Drop Chance,Chance
Aurax Baculus,3.00%,Uncommon (25.29%)
Tusk Butcher,3.00%,Uncommon (18.97%)
Guardsman,3.00%,Uncommon (25.29%)
Kuva Drahk Master,3.00%,Uncommon (18.97%)
Kuva Hyekka Master,3.00%,Uncommon (25.29%)
Kuva Butcher,3.00%,Uncommon (18.97%)
Ghoul Devourer,10.00%,Uncommon (25.29%)
Drahk Master,3.00%,Uncommon (18.97%)
Hyekka Master,3.00%,Uncommon (25.29%)
Frontier Bailiff,3.00%,Uncommon (18.97%)
Bailiff,3.00%,Uncommon (18.97%)
Butcher,3.00%,Uncommon (18.97%)
Grineer Manic,50.00%,Uncommon (18.97%)
Drekar Butcher,3.00%,Uncommon (18.97%)
Drekar Manic,3.00%,Uncommon (18.97%)
,,
Spring-Loaded Blade,Spring-Loaded Blade,Spring-Loaded Blade
Source,Mod Drop Chance,Chance
Tusk Thumper Doma,15.00%,Uncommon (12.50%)
Plains Commander,100.00%,Legendary (0.50%)
Narmer Thumper Doma,15.00%,Uncommon (12.50%)
,,
Metal Fiber,Metal Fiber,Metal Fiber
Source,Mod Drop Chance,Chance
Vapos Prod Crewman,3.00%,Common (37.94%)
Taro Stropha Crewman,3.00%,Common (37.94%)
Orm Stropha Crewman,3.00%,Common (37.94%)
Axio Stropha Crewman,3.00%,Common (37.94%)
Vorac Stropha Crewman,3.00%,Common (37.94%)
Juno Malleus Machinist,3.00%,Very Common (75.88%)
Corpus Power Carrier,5.00%,Common (34.47%)
Prod Crewman,3.00%,Common (37.94%)
Nul Comba,5.00%,Common (37.94%)
Sap Comba,5.00%,Common (37.94%)
Slo Comba,5.00%,Common (37.94%)
Fog Comba,5.00%,Common (37.94%)
Narmer Prod Crewman,3.00%,Common (37.94%)
Terra Detron Crewman,5.00%,Common (37.94%)
Terra Research Crewman,5.00%,Common (37.94%)
Terra Elite Crewman,5.00%,Common (37.94%)
Terra Crewman,5.00%,Common (37.94%)
Terra Crewman,20.00%,Common (37.94%)
Terra Plasmor Crewman,5.00%,Common (37.94%)
Terra Plasmor Crewman,20.00%,Common (37.94%)
Terra Sniper Crewman,5.00%,Common (37.94%)
Terra Sniper Crewman,20.00%,Common (37.94%)
Orb Vallis - Temple of Profit Enemies,5.00%,Uncommon (25.29%)
,,
Territorial Aggression,Territorial Aggression,Territorial Aggression
Source,Mod Drop Chance,Chance
Kavat,20.00%,Uncommon (30.56%)
,,
Deadly Efficiency,Deadly Efficiency,Deadly Efficiency
Source,Mod Drop Chance,Chance
Exo Raider,5.00%,Rare (2.01%)
Exo Raider Carver,5.00%,Rare (2.01%)
Exo Raider Eviscerator,5.00%,Rare (2.01%)
Exo Butcher,5.00%,Ultra Rare (1.68%)
Exo Elite Lancer,5.00%,Ultra Rare (1.68%)
Exo Roller Sentry,5.00%,Ultra Rare (1.68%)
,,
Thumper,Thumper,Thumper
Source,Mod Drop Chance,Chance
Corrupted Lancer,3.00%,Common (37.94%)
Corrupted Butcher,3.00%,Common (37.94%)
,,
Quick Thinking,Quick Thinking,Quick Thinking
Source,Mod Drop Chance,Chance
Corrupted Ancient,3.00%,Ultra Rare (1.01%)
,,
Gunslinger,Gunslinger,Gunslinger
Source,Mod Drop Chance,Chance
Tusk Napalm,3.00%,Rare (5.53%)
Elite Shield Lancer,5.00%,Common (45.83%)
Eidolon Hydrolyst,100.00%,Uncommon (22.22%)
Alad V,100.00%,Uncommon (11.06%)
Captain Vor,100.00%,Uncommon (11.06%)
Kuva Napalm,3.00%,Rare (5.53%)
Napalm,3.00%,Rare (5.53%)
Mutalist Alad V,100.00%,Uncommon (11.06%)
Scavenger Drone,3.00%,Uncommon (11.28%)
Narmer Scavenger Drone,3.00%,Uncommon (11.28%)
Narmer Napalm,3.00%,Rare (5.53%)
,,
Bite,Bite,Bite
Source,Mod Drop Chance,Chance
Tamm,3.00%,Legendary (0.22%)
Corrupted Drahk,3.00%,Legendary (0.22%)
Kubrow,3.00%,Legendary (0.22%)
Kuva Drahk,3.00%,Legendary (0.22%)
Drahk,3.00%,Legendary (0.22%)
,,
Link Vitality,Link Vitality,Link Vitality
Source,Mod Drop Chance,Chance
Tamm,3.00%,Rare (3.69%)
Corrupted Drahk,3.00%,Rare (3.69%)
Kubrow,3.00%,Rare (3.69%)
Kuva Drahk,3.00%,Rare (3.69%)
Drahk,3.00%,Rare (3.69%)
,,
Lasting Sting,Lasting Sting,Lasting Sting
Source,Mod Drop Chance,Chance
Leaping Thrasher,4.50%,Uncommon (25.29%)
Brood Mother,3.00%,Uncommon (25.29%)
Ancient Disruptor,3.00%,Uncommon (25.29%)
Tar Mutalist Moa,3.00%,Uncommon (25.29%)
Deimos Therid,3.00%,Uncommon (25.29%)
Deimos Leaping Thrasher,4.50%,Uncommon (25.29%)
Deimos Carnis,4.50%,Uncommon (25.29%)
Deimos Jugulus,4.50%,Uncommon (25.29%)
Deimos Brood Mother,3.00%,Uncommon (25.29%)
Deimos Saxum,4.50%,Uncommon (25.29%)
,,
Cryo Rounds,Cryo Rounds,Cryo Rounds
Source,Mod Drop Chance,Chance
Vapos Shockwave Moa,3.00%,Uncommon (11.06%)
Taro Shockwave Moa,3.00%,Uncommon (11.06%)
Orm Shockwave Moa,3.00%,Uncommon (11.06%)
Axio Shockwave Moa,3.00%,Uncommon (11.06%)
Vorac Shockwave Moa,3.00%,Uncommon (11.06%)
Derivator Crewman,3.00%,Rare (7.37%)
Juno Glaxion Moa,3.00%,Uncommon (11.06%)
Test Moa,3.00%,Uncommon (11.06%)
Councilor Vay Hek,100.00%,Rare (4.42%)
Artificer,100.00%,Rare (4.42%)
Lt Lech Kril,100.00%,Uncommon (22.92%)
Phorid,100.00%,Rare (5.64%)
Shockwave Moa,3.00%,Uncommon (11.06%)
Tyl Regor,100.00%,Rare (7.52%)
Tyl Regor,100.00%,Rare (7.52%)
Councilor Vay Hek,100.00%,Rare (4.42%)
Vay Hek Terra Frame,100.00%,Rare (4.42%)
Narmer Glaxion Moa,3.00%,Uncommon (11.06%)
Narmer Shockwave Moa,3.00%,Uncommon (11.06%)
Breacher Moa,3.00%,Uncommon (11.06%)
Orb Vallis - Temple of Profit Enemies,5.00%,Rare (3.69%)
Orb Vallis - Enrichment Labs Enemies,5.00%,Rare (2.75%)
Orb Vallis - Spaceport Enemies,5.00%,Rare (2.81%)
,,
Necramech Continuity,Necramech Continuity,Necramech Continuity
Source,Mod Drop Chance,Chance
Nechramech (Tier 2),15.00%,Uncommon (11.06%)
,,
Precision Intensify,Precision Intensify,Precision Intensify
Source,Mod Drop Chance,Chance
The Anatomizer,3.00%,Uncommon (10.20%)
The Fragmented Suzerain,3.00%,Uncommon (20.20%)
The Hollow Vein,3.00%,Rare (9.91%)
The Severed Warden,3.00%,Uncommon (10.20%)
,,
Wise Razor,Wise Razor,Wise Razor
Source,Mod Drop Chance,Chance
