Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
Venus/Unda (Spy),Venus/Unda (Spy)
Rotation A,Rotation A
"1,500 Credits Cache",Uncommon (14.29%)
"1,500 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Reflection,Uncommon (14.29%)
Reflex Guard,Uncommon (14.29%)
Parry,Uncommon (14.29%)
Rotation B,Rotation B
Lith N14 Relic,Uncommon (14.29%)
Lith W3 Relic,Uncommon (14.29%)
Lith G8 Relic,Uncommon (14.29%)
Lith T10 Relic,Uncommon (14.29%)
Lith R4 Relic,Uncommon (14.29%)
Lith H9 Relic,Uncommon (14.29%)
Lith C10 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Master Key,Uncommon (10.00%)
Reflection,Uncommon (10.00%)
Parry,Uncommon (10.00%)
Heavy Impact,Uncommon (10.00%)
Serration,Uncommon (10.00%)
Hornet Strike,Uncommon (10.00%)
Metal Auger,Uncommon (10.00%)
Volcanic Edge,Uncommon (10.00%)
Vicious Frost,Uncommon (10.00%)
Ivara Systems Blueprint,Uncommon (10.00%)
,
Venus/Malva (Survival),Venus/Malva (Survival)
Rotation A,Rotation A
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Rotation B,Rotation B
Parry,Rare (7.69%)
Steel Fiber,Rare (7.69%)
Serration,Rare (7.69%)
Incendiary Coat,Rare (7.69%)
Hornet Strike,Rare (7.69%)
Intensify,Rare (7.69%)
Lith N14 Relic,Rare (7.69%)
Lith W3 Relic,Rare (7.69%)
Lith G8 Relic,Rare (7.69%)
Lith T10 Relic,Rare (7.69%)
Lith R4 Relic,Rare (7.69%)
Lith H9 Relic,Rare (7.69%)
Lith C10 Relic,Rare (7.69%)
Rotation C,Rotation C
True Punishment,Uncommon (11.28%)
Quickening,Uncommon (11.28%)
Lith N14 Relic,Uncommon (11.06%)
Lith W3 Relic,Uncommon (11.06%)
Lith G8 Relic,Uncommon (11.06%)
Lith T10 Relic,Uncommon (11.06%)
Lith R4 Relic,Uncommon (11.06%)
Lith H9 Relic,Uncommon (11.06%)
Lith C10 Relic,Uncommon (11.06%)
,
Venus/Venera (Capture),Venus/Venera (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Venus/Tessera (Defense),Venus/Tessera (Defense)
Rotation A,Rotation A
Magazine Warp,Rare (9.09%)
Trick Mag,Rare (9.09%)
Pressure Point,Rare (9.09%)
Ammo Drum,Rare (9.09%)
Lith G8 Relic,Rare (9.09%)
Lith W3 Relic,Rare (9.09%)
Lith R4 Relic,Rare (9.09%)
Lith C10 Relic,Rare (9.09%)
Lith T10 Relic,Rare (9.09%)
Lith H9 Relic,Rare (9.09%)
Lith N14 Relic,Rare (9.09%)
Rotation B,Rotation B
Reflex Coil,Rare (8.33%)
Cryo Rounds,Rare (8.33%)
Hell's Chamber,Rare (8.33%)
Shocking Touch,Rare (8.33%)
100 Endo,Rare (8.33%)
Meso M4 Relic,Rare (8.33%)
Meso G5 Relic,Rare (8.33%)
Meso B8 Relic,Rare (8.33%)
Meso P13 Relic,Rare (8.33%)
Meso P14 Relic,Rare (8.33%)
Meso C9 Relic,Rare (8.33%)
Meso W3 Relic,Rare (8.33%)
Rotation C,Rotation C
Metal Auger,Rare (8.33%)
Ravage,Rare (8.33%)
Continuity,Rare (8.33%)
Master Thief,Rare (8.33%)
200 Endo,Rare (8.33%)
Meso M4 Relic,Rare (8.33%)
Meso G5 Relic,Rare (8.33%)
Meso B8 Relic,Rare (8.33%)
Meso P13 Relic,Rare (8.33%)
Meso P14 Relic,Rare (8.33%)
Meso C9 Relic,Rare (8.33%)
Meso W3 Relic,Rare (8.33%)
,
Venus/Kiliken (Excavation),Venus/Kiliken (Excavation)
Rotation A,Rotation A
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Rotation B,Rotation B
Parry,Rare (7.69%)
Steel Fiber,Rare (7.69%)
Serration,Rare (7.69%)
Incendiary Coat,Rare (7.69%)
Hornet Strike,Rare (7.69%)
Intensify,Rare (7.69%)
Lith N14 Relic,Rare (7.69%)
Lith W3 Relic,Rare (7.69%)
Lith G8 Relic,Rare (7.69%)
Lith T10 Relic,Rare (7.69%)
Lith R4 Relic,Rare (7.69%)
Lith H9 Relic,Rare (7.69%)
Lith C10 Relic,Rare (7.69%)
Rotation C,Rotation C
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Cleanse Grineer,Rare (3.76%)
Lith N14 Relic,Uncommon (11.06%)
Lith W3 Relic,Uncommon (11.06%)
Lith G8 Relic,Uncommon (11.06%)
Lith T10 Relic,Uncommon (11.06%)
Lith R4 Relic,Uncommon (11.06%)
Lith H9 Relic,Uncommon (11.06%)
Lith C10 Relic,Uncommon (11.06%)
,
Venus/Romula (Defense),Venus/Romula (Defense)
Rotation A,Rotation A
Vitality,Rare (6.90%)
Fast Deflection,Rare (6.90%)
Rush,Rare (7.37%)
Magazine Warp,Rare (6.90%)
Trick Mag,Rare (6.90%)
Pressure Point,Ultra Rare (1.01%)
Ammo Drum,Rare (7.37%)
Fast Hands,Rare (7.37%)
True Punishment,Ultra Rare (1.01%)
Lith G8 Relic,Rare (6.90%)
Lith W3 Relic,Rare (6.90%)
Lith R4 Relic,Rare (6.90%)
Lith C10 Relic,Rare (6.90%)
Lith T10 Relic,Rare (6.90%)
Lith H9 Relic,Rare (6.90%)
Lith N14 Relic,Rare (6.90%)
Rotation B,Rotation B
Speed Trigger,Rare (8.43%)
Fast Hands,Ultra Rare (1.58%)
Point Strike,Rare (8.43%)
Vital Sense,Rare (8.43%)
Piercing Hit,Ultra Rare (1.58%)
Metal Auger,Ultra Rare (1.58%)
Pistol Gambit,Rare (8.43%)
Target Cracker,Rare (8.43%)
No Return,Rare (8.43%)
Ravage,Rare (8.43%)
Blunderbuss,Rare (8.43%)
Point Blank,Ultra Rare (1.58%)
Serration,Ultra Rare (1.58%)
Hornet Strike,Ultra Rare (1.58%)
Fury,Legendary (0.67%)
Reflex Coil,Ultra Rare (1.58%)
Pressure Point,Rare (8.43%)
True Punishment,Legendary (0.67%)
Quickening,Legendary (0.67%)
Meso M4 Relic,Ultra Rare (1.58%)
Meso G5 Relic,Ultra Rare (1.58%)
Meso B8 Relic,Ultra Rare (1.58%)
Meso P13 Relic,Ultra Rare (1.58%)
Meso P14 Relic,Ultra Rare (1.58%)
Meso C9 Relic,Ultra Rare (1.58%)
Meso W3 Relic,Ultra Rare (1.58%)
Rotation C,Rotation C
Hellfire,Rare (7.59%)
Heated Charge,Rare (7.59%)
Molten Impact,Ultra Rare (1.84%)
Barrel Diffusion,Ultra Rare (1.84%)
Streamline,Ultra Rare (1.84%)
Intensify,Ultra Rare (1.84%)
Thunderbolt,Legendary (0.40%)
80 Endo,Rare (7.59%)
80 Endo,Ultra Rare (1.84%)
True Punishment,Legendary (0.40%)
Quickening,Legendary (0.40%)
Enduring Strike,Legendary (0.40%)
Life Strike,Legendary (0.40%)
Meso M4 Relic,Rare (7.59%)
Meso G5 Relic,Rare (7.59%)
Meso B8 Relic,Rare (7.59%)
Meso P13 Relic,Rare (7.59%)
Meso P14 Relic,Rare (7.59%)
Meso C9 Relic,Rare (7.59%)
Meso W3 Relic,Rare (7.59%)
Neo F2 Relic,Ultra Rare (1.84%)
Neo Z10 Relic,Ultra Rare (1.84%)
Neo S18 Relic,Ultra Rare (1.84%)
Neo K6 Relic,Ultra Rare (1.84%)
Neo K7 Relic,Ultra Rare (1.84%)
Neo D8 Relic,Ultra Rare (1.84%)
Neo N23 Relic,Ultra Rare (1.84%)
,
Venus/Montes (Exterminate),Venus/Montes (Exterminate)
Morphic Transformer,Rare (5.64%)
Automatic Trigger,Common (38.72%)
Phaedra Receiver,Rare (5.64%)
Extend,Common (38.72%)
Shell Rush,Rare (5.64%)
Shell Rush,Rare (5.64%)
,
Earth/Mantle (Capture),Earth/Mantle (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Earth/Cambria (Spy),Earth/Cambria (Spy)
Rotation A,Rotation A
"1,500 Credits Cache",Uncommon (14.29%)
"1,500 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Reflection,Uncommon (14.29%)
Reflex Guard,Uncommon (14.29%)
Parry,Uncommon (14.29%)
Rotation B,Rotation B
Lith N14 Relic,Uncommon (14.29%)
Lith W3 Relic,Uncommon (14.29%)
Lith G8 Relic,Uncommon (14.29%)
Lith T10 Relic,Uncommon (14.29%)
Lith R4 Relic,Uncommon (14.29%)
Lith H9 Relic,Uncommon (14.29%)
Lith C10 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Master Key,Uncommon (10.00%)
Reflection,Uncommon (10.00%)
Parry,Uncommon (10.00%)
Heavy Impact,Uncommon (10.00%)
Serration,Uncommon (10.00%)
Hornet Strike,Uncommon (10.00%)
Metal Auger,Uncommon (10.00%)
Volcanic Edge,Uncommon (10.00%)
Vicious Frost,Uncommon (10.00%)
Ivara Systems Blueprint,Uncommon (10.00%)
,
Earth/Everest (Excavation),Earth/Everest (Excavation)
Rotation A,Rotation A
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Rotation B,Rotation B
Parry,Rare (7.69%)
Steel Fiber,Rare (7.69%)
Serration,Rare (7.69%)
Incendiary Coat,Rare (7.69%)
Hornet Strike,Rare (7.69%)
Intensify,Rare (7.69%)
Lith N14 Relic,Rare (7.69%)
Lith W3 Relic,Rare (7.69%)
Lith G8 Relic,Rare (7.69%)
Lith T10 Relic,Rare (7.69%)
Lith R4 Relic,Rare (7.69%)
Lith H9 Relic,Rare (7.69%)
Lith C10 Relic,Rare (7.69%)
Rotation C,Rotation C
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Cleanse Grineer,Rare (3.76%)
Lith N14 Relic,Uncommon (11.06%)
Lith W3 Relic,Uncommon (11.06%)
Lith G8 Relic,Uncommon (11.06%)
Lith T10 Relic,Uncommon (11.06%)
Lith R4 Relic,Uncommon (11.06%)
Lith H9 Relic,Uncommon (11.06%)
Lith C10 Relic,Uncommon (11.06%)
,
Earth/Pacific (Rescue),Earth/Pacific (Rescue)
Rotation B,Rotation B
Vapor Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Phase Specter Blueprint,Very Common (100.00%)
,
Earth/Lith (Defense),Earth/Lith (Defense)
Rotation A,Rotation A
Magazine Warp,Rare (9.09%)
Trick Mag,Rare (9.09%)
Pressure Point,Rare (9.09%)
Ammo Drum,Rare (9.09%)
Lith G8 Relic,Rare (9.09%)
Lith W3 Relic,Rare (9.09%)
Lith R4 Relic,Rare (9.09%)
Lith C10 Relic,Rare (9.09%)
Lith T10 Relic,Rare (9.09%)
Lith H9 Relic,Rare (9.09%)
Lith N14 Relic,Rare (9.09%)
Rotation B,Rotation B
Reflex Coil,Rare (8.33%)
Cryo Rounds,Rare (8.33%)
Hell's Chamber,Rare (8.33%)
Shocking Touch,Rare (8.33%)
100 Endo,Rare (8.33%)
Meso M4 Relic,Rare (8.33%)
Meso G5 Relic,Rare (8.33%)
Meso B8 Relic,Rare (8.33%)
Meso P13 Relic,Rare (8.33%)
Meso P14 Relic,Rare (8.33%)
Meso C9 Relic,Rare (8.33%)
Meso W3 Relic,Rare (8.33%)
Rotation C,Rotation C
Metal Auger,Rare (8.33%)
Ravage,Rare (8.33%)
Continuity,Rare (8.33%)
Master Thief,Rare (8.33%)
200 Endo,Rare (8.33%)
Meso M4 Relic,Rare (8.33%)
Meso G5 Relic,Rare (8.33%)
Meso B8 Relic,Rare (8.33%)
Meso P13 Relic,Rare (8.33%)
Meso P14 Relic,Rare (8.33%)
Meso C9 Relic,Rare (8.33%)
Meso W3 Relic,Rare (8.33%)
,
Earth/Sover Strait (Skirmish),Earth/Sover Strait (Skirmish)
100 Endo,Uncommon (20.00%)
150 Endo,Uncommon (10.00%)
2X Riven Sliver,Ultra Rare (1.00%)
Lavan Engines Mk I,Rare (6.00%)
Lavan Reactor Mk I,Rare (6.00%)
Lavan Shield Array Mk I,Rare (6.00%)
Lavan Plating Mk I,Rare (6.00%)
Vidar Engines Mk I,Rare (6.00%)
Vidar Reactor Mk I,Rare (6.00%)
Vidar Shield Array Mk I,Rare (6.00%)
Vidar Plating Mk I,Rare (6.00%)
Lith N14 Relic,Rare (3.00%)
Lith W3 Relic,Rare (3.00%)
Lith G8 Relic,Rare (3.00%)
Lith T10 Relic,Rare (3.00%)
Lith R4 Relic,Rare (3.00%)
Lith H9 Relic,Rare (3.00%)
Lith C10 Relic,Rare (3.00%)
,
Earth/Sover Strait (Skirmish) Extra,Earth/Sover Strait (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Earth/Sover Strait (Caches),Earth/Sover Strait (Caches)
Oberon Neuroptics Blueprint,Uncommon (10.00%)
Oberon Systems Blueprint,Uncommon (10.00%)
Tether,Rare (4.00%)
Particle Ram,Rare (4.00%)
Shatter Burst,Rare (4.00%)
Lith N14 Relic,Rare (5.00%)
Lith W3 Relic,Rare (5.00%)
Lith G8 Relic,Rare (5.00%)
Lith T10 Relic,Rare (5.00%)
Lith R4 Relic,Rare (5.00%)
Lith H9 Relic,Rare (5.00%)
Lith C10 Relic,Rare (5.00%)
Meso N11 Relic,Rare (5.00%)
150 Endo,Uncommon (12.00%)
100 Endo,Uncommon (16.00%)
,
Earth/Iota Temple (Skirmish),Earth/Iota Temple (Skirmish)
100 Endo,Uncommon (20.00%)
150 Endo,Uncommon (10.00%)
2X Riven Sliver,Ultra Rare (1.00%)
Lavan Engines Mk I,Rare (6.00%)
Lavan Reactor Mk I,Rare (6.00%)
Lavan Shield Array Mk I,Rare (6.00%)
Lavan Plating Mk I,Rare (6.00%)
Vidar Engines Mk I,Rare (6.00%)
Vidar Reactor Mk I,Rare (6.00%)
Vidar Shield Array Mk I,Rare (6.00%)
Vidar Plating Mk I,Rare (6.00%)
Lith N14 Relic,Rare (3.00%)
Lith W3 Relic,Rare (3.00%)
Lith G8 Relic,Rare (3.00%)
Lith T10 Relic,Rare (3.00%)
Lith R4 Relic,Rare (3.00%)
Lith H9 Relic,Rare (3.00%)
Lith C10 Relic,Rare (3.00%)
,
Earth/Iota Temple (Skirmish) Extra,Earth/Iota Temple (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Earth/Iota Temple (Caches),Earth/Iota Temple (Caches)
Oberon Neuroptics Blueprint,Uncommon (10.00%)
Oberon Systems Blueprint,Uncommon (10.00%)
Tether,Rare (4.00%)
Particle Ram,Rare (4.00%)
Shatter Burst,Rare (4.00%)
Lith N14 Relic,Rare (5.00%)
Lith W3 Relic,Rare (5.00%)
Lith G8 Relic,Rare (5.00%)
Lith T10 Relic,Rare (5.00%)
Lith R4 Relic,Rare (5.00%)
Lith H9 Relic,Rare (5.00%)
Lith C10 Relic,Rare (5.00%)
Meso N11 Relic,Rare (5.00%)
150 Endo,Uncommon (12.00%)
100 Endo,Uncommon (16.00%)
,
Earth/Gaia (Interception),Earth/Gaia (Interception)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Lith N14 Relic,Uncommon (10.00%)
Lith W3 Relic,Uncommon (10.00%)
Lith G8 Relic,Uncommon (10.00%)
Lith T10 Relic,Uncommon (10.00%)
Lith R4 Relic,Uncommon (10.00%)
Lith H9 Relic,Uncommon (10.00%)
Lith C10 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Speed Trigger,Rare (5.88%)
Fast Deflection,Rare (5.88%)
Rush,Rare (5.88%)
Target Cracker,Rare (5.88%)
No Return,Rare (5.88%)
Serration,Rare (5.88%)
Hornet Strike,Rare (5.88%)
Reflex Coil,Rare (5.88%)
Deep Freeze,Rare (5.88%)
North Wind,Rare (5.88%)
Meso P14 Relic,Rare (5.88%)
Meso G5 Relic,Rare (5.88%)
Meso M4 Relic,Rare (5.88%)
Meso P13 Relic,Rare (5.88%)
Meso B8 Relic,Rare (5.88%)
Meso W3 Relic,Rare (5.88%)
Meso C9 Relic,Rare (5.88%)
Rotation C,Rotation C
Natural Talent,Rare (2.58%)
Meso P14 Relic,Uncommon (13.92%)
Meso G5 Relic,Uncommon (13.92%)
Meso M4 Relic,Uncommon (13.92%)
Meso P13 Relic,Uncommon (13.92%)
Meso B8 Relic,Uncommon (13.92%)
Meso W3 Relic,Uncommon (13.92%)
Meso C9 Relic,Uncommon (13.92%)
,
Earth/Cervantes (Caches),Earth/Cervantes (Caches)
Rotation A,Rotation A
"2,500 Credits Cache",Very Common (100.00%)
Rotation B,Rotation B
300X Ferrite,Uncommon (12.18%)
150X Rubedo,Uncommon (12.18%)
Detonite Ampule,Uncommon (12.18%)
100 Endo,Uncommon (12.18%)
100 Endo,Uncommon (12.18%)
"3,000 Credits Cache",Uncommon (12.18%)
"3,000 Credits Cache",Uncommon (12.18%)
Neurodes,Uncommon (12.18%)
Kubrow Egg,Rare (2.58%)
Rotation C,Rotation C
Health Restore (Large),Uncommon (15.10%)
Health Restore (Large),Uncommon (15.10%)
200 Endo,Uncommon (15.10%)
200 Endo,Uncommon (15.10%)
Neurodes,Uncommon (15.10%)
Bite,Rare (3.67%)
Link Fiber,Rare (3.67%)
Link Vitality,Rare (3.67%)
Link Redirection,Rare (3.67%)
Maul,Rare (3.67%)
Hastened Deflection,Rare (3.67%)
Forma Blueprint,Rare (2.00%)
Forma,Legendary (0.50%)
,
Earth/Oro (Assassination),Earth/Oro (Assassination)
Hydroid Neuroptics Blueprint,Common (38.72%)
Hydroid Chassis Blueprint,Common (38.72%)
Hydroid Systems Blueprint,Uncommon (22.56%)
,
Earth/Coba (Defense),Earth/Coba (Defense)
Rotation A,Rotation A
Vitality,Rare (6.90%)
Fast Deflection,Rare (6.90%)
Rush,Rare (7.37%)
Magazine Warp,Rare (6.90%)
Trick Mag,Rare (6.90%)
Pressure Point,Ultra Rare (1.01%)
Ammo Drum,Rare (7.37%)
Fast Hands,Rare (7.37%)
True Punishment,Ultra Rare (1.01%)
Lith G8 Relic,Rare (6.90%)
Lith W3 Relic,Rare (6.90%)
Lith R4 Relic,Rare (6.90%)
Lith C10 Relic,Rare (6.90%)
Lith T10 Relic,Rare (6.90%)
Lith H9 Relic,Rare (6.90%)
Lith N14 Relic,Rare (6.90%)
Rotation B,Rotation B
Speed Trigger,Rare (8.43%)
Fast Hands,Ultra Rare (1.58%)
Point Strike,Rare (8.43%)
Vital Sense,Rare (8.43%)
Piercing Hit,Ultra Rare (1.58%)
Metal Auger,Ultra Rare (1.58%)
Pistol Gambit,Rare (8.43%)
Target Cracker,Rare (8.43%)
No Return,Rare (8.43%)
Ravage,Rare (8.43%)
Blunderbuss,Rare (8.43%)
Point Blank,Ultra Rare (1.58%)
Serration,Ultra Rare (1.58%)
Hornet Strike,Ultra Rare (1.58%)
Fury,Legendary (0.67%)
Reflex Coil,Ultra Rare (1.58%)
Pressure Point,Rare (8.43%)
True Punishment,Legendary (0.67%)
Quickening,Legendary (0.67%)
Meso M4 Relic,Ultra Rare (1.58%)
Meso G5 Relic,Ultra Rare (1.58%)
Meso B8 Relic,Ultra Rare (1.58%)
Meso P13 Relic,Ultra Rare (1.58%)
Meso P14 Relic,Ultra Rare (1.58%)
Meso C9 Relic,Ultra Rare (1.58%)
Meso W3 Relic,Ultra Rare (1.58%)
Rotation C,Rotation C
Hellfire,Rare (7.59%)
Heated Charge,Rare (7.59%)
Molten Impact,Ultra Rare (1.84%)
Barrel Diffusion,Ultra Rare (1.84%)
Streamline,Ultra Rare (1.84%)
Intensify,Ultra Rare (1.84%)
Thunderbolt,Legendary (0.40%)
80 Endo,Rare (7.59%)
80 Endo,Ultra Rare (1.84%)
True Punishment,Legendary (0.40%)
Quickening,Legendary (0.40%)
Enduring Strike,Legendary (0.40%)
Life Strike,Legendary (0.40%)
Meso M4 Relic,Rare (7.59%)
Meso G5 Relic,Rare (7.59%)
Meso B8 Relic,Rare (7.59%)
Meso P13 Relic,Rare (7.59%)
Meso P14 Relic,Rare (7.59%)
Meso C9 Relic,Rare (7.59%)
Meso W3 Relic,Rare (7.59%)
Neo F2 Relic,Ultra Rare (1.84%)
Neo Z10 Relic,Ultra Rare (1.84%)
Neo S18 Relic,Ultra Rare (1.84%)
Neo K6 Relic,Ultra Rare (1.84%)
Neo K7 Relic,Ultra Rare (1.84%)
Neo D8 Relic,Ultra Rare (1.84%)
Neo N23 Relic,Ultra Rare (1.84%)
,
Earth/Erpo (Mobile Defense),Earth/Erpo (Mobile Defense)
Polar Magazine,Common (38.72%)
Superior Defenses,Common (38.72%)
Meteor Crash,Rare (3.76%)
Nebula Bore,Rare (3.76%)
Astral Slash,Rare (3.76%)
Comet Blast,Rare (3.76%)
Quasar Drill,Rare (3.76%)
Zodiac Shred,Rare (3.76%)
,
Earth/Tikal (Excavation),Earth/Tikal (Excavation)
Rotation A,Rotation A
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
"2,000 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Rotation B,Rotation B
Parry,Rare (7.69%)
Steel Fiber,Rare (7.69%)
Serration,Rare (7.69%)
Incendiary Coat,Rare (7.69%)
Hornet Strike,Rare (7.69%)
Intensify,Rare (7.69%)
Lith N14 Relic,Rare (7.69%)
Lith W3 Relic,Rare (7.69%)
Lith G8 Relic,Rare (7.69%)
Lith T10 Relic,Rare (7.69%)
Lith R4 Relic,Rare (7.69%)
Lith H9 Relic,Rare (7.69%)
Lith C10 Relic,Rare (7.69%)
Rotation C,Rotation C
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Cleanse Grineer,Rare (3.76%)
Lith N14 Relic,Uncommon (11.06%)
Lith W3 Relic,Uncommon (11.06%)
Lith G8 Relic,Uncommon (11.06%)
Lith T10 Relic,Uncommon (11.06%)
Lith R4 Relic,Uncommon (11.06%)
Lith H9 Relic,Uncommon (11.06%)
Lith C10 Relic,Uncommon (11.06%)
,
Earth/Ogal Cluster (Skirmish),Earth/Ogal Cluster (Skirmish)
100 Endo,Uncommon (20.00%)
150 Endo,Uncommon (10.00%)
2X Riven Sliver,Ultra Rare (1.00%)
Lavan Engines Mk I,Rare (6.00%)
Lavan Reactor Mk I,Rare (6.00%)
Lavan Shield Array Mk I,Rare (6.00%)
Lavan Plating Mk I,Rare (6.00%)
Vidar Engines Mk I,Rare (6.00%)
Vidar Reactor Mk I,Rare (6.00%)
Vidar Shield Array Mk I,Rare (6.00%)
Vidar Plating Mk I,Rare (6.00%)
Lith N14 Relic,Rare (3.00%)
Lith W3 Relic,Rare (3.00%)
Lith G8 Relic,Rare (3.00%)
Lith T10 Relic,Rare (3.00%)
Lith R4 Relic,Rare (3.00%)
Lith H9 Relic,Rare (3.00%)
Lith C10 Relic,Rare (3.00%)
,
Earth/Ogal Cluster (Skirmish) Extra,Earth/Ogal Cluster (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Earth/Ogal Cluster (Caches),Earth/Ogal Cluster (Caches)
Oberon Neuroptics Blueprint,Uncommon (10.00%)
Oberon Systems Blueprint,Uncommon (10.00%)
Tether,Rare (4.00%)
Particle Ram,Rare (4.00%)
Shatter Burst,Rare (4.00%)
Lith N14 Relic,Rare (5.00%)
Lith W3 Relic,Rare (5.00%)
Lith G8 Relic,Rare (5.00%)
Lith T10 Relic,Rare (5.00%)
Lith R4 Relic,Rare (5.00%)
Lith H9 Relic,Rare (5.00%)
Lith C10 Relic,Rare (5.00%)
Meso N11 Relic,Rare (5.00%)
150 Endo,Uncommon (12.00%)
100 Endo,Uncommon (16.00%)
,
Earth/Korm's Belt (Skirmish),Earth/Korm's Belt (Skirmish)
100 Endo,Uncommon (20.00%)
150 Endo,Uncommon (10.00%)
2X Riven Sliver,Ultra Rare (1.00%)
Lavan Engines Mk I,Rare (6.00%)
Lavan Reactor Mk I,Rare (6.00%)
Lavan Shield Array Mk I,Rare (6.00%)
Lavan Plating Mk I,Rare (6.00%)
Vidar Engines Mk I,Rare (6.00%)
Vidar Reactor Mk I,Rare (6.00%)
Vidar Shield Array Mk I,Rare (6.00%)
Vidar Plating Mk I,Rare (6.00%)
Lith N14 Relic,Rare (3.00%)
Lith W3 Relic,Rare (3.00%)
Lith G8 Relic,Rare (3.00%)
Lith T10 Relic,Rare (3.00%)
Lith R4 Relic,Rare (3.00%)
Lith H9 Relic,Rare (3.00%)
Lith C10 Relic,Rare (3.00%)
,
Earth/Korm's Belt (Skirmish) Extra,Earth/Korm's Belt (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Earth/Korm's Belt (Caches),Earth/Korm's Belt (Caches)
